File,Levenshtein-Dist,Levenshtein-Sim,LCS-Dist,LCS-Sim,Damerau-Levenshtein-Dist,Damerau-Levenshtein-Sim,Jaro-Sim,1-cosine,2-cosine,3-cosine,4-cosine,1-jaccard,2-jaccard,3-jaccard,4-jaccard,1-sorensen_dice,2-sorensen_dice,3-sorensen_dice,4-sorensen_dice,1-qgram,2-qgram,3-qgram,4-qgram
DigitalCamNominal-representations,1002,0.562062937,1235,0.70248133,1002,0.562062937,0.795537559,0.998205374,0.994865671,0.978988391,0.881659116,0.964285714,0.947368421,0.922222222,0.673913043,0.981818182,0.972972973,0.959537572,0.805194805,0.817307692,0.81686747,0.799043062,0.670378619
DigitalCamParallel-representations,2496,0.341077086,2703,0.493914997,2496,0.341077086,0.640322998,0.929470561,0.835824405,0.640391472,0.442169485,0.592592593,0.527272727,0.471264368,0.393162393,0.744186047,0.69047619,0.640625,0.564417178,0.30026455,0.241772152,0.186666667,0.149411765
FIRFIRGCD-representations,2047,0.523288309,2423,0.662017018,2047,0.523288309,0.740620609,0.997547697,0.993280297,0.980142151,0.854649745,1,0.981481481,0.952941176,0.716535433,1,0.990654206,0.975903614,0.834862385,0.636363636,0.627906977,0.607748184,0.511972634
RTApp-representations,737,0.549786194,941,0.703435235,737,0.549786194,0.834069247,0.998843395,0.99666527,0.981087936,0.872772447,1,0.981818182,0.942528736,0.692307692,1,0.990825688,0.970414201,0.818181818,0.925925926,0.919191919,0.874587459,0.6996997
RTAppPaper-representations,865,0.549947971,1097,0.702790572,864,0.550468262,0.822975073,0.998649922,0.996125391,0.981080127,0.867817069,1,0.982142857,0.954545455,0.732283465,1,0.990990991,0.976744186,0.845454545,0.877777778,0.856749311,0.811320755,0.654320988
RTAppPaper-representations,1142,0.567260326,1488,0.713515595,1141,0.567639257,0.845097683,0.999781495,0.999373316,0.985775028,0.864348942,1,0.944444444,0.88372093,0.6171875,1,0.971428571,0.938271605,0.763285024,0.971134021,0.967010309,0.907815631,0.717902351
HepsyExample-representations,2103,0.504943503,2706,0.680670286,2102,0.505178908,0.84889561,0.999976041,0.999906661,0.995161317,0.889259896,1,0.981481481,0.952941176,0.71875,1,0.990654206,0.975903614,0.836363636,0.987325729,0.984790875,0.947696139,0.764971751
Sobel-representations,899,0.602036299,1160,0.739091318,899,0.602036299,0.839216624,0.999568869,0.998614821,0.993504756,0.89388491,1,0.981481481,0.964705882,0.73553719,1,0.990654206,0.982035928,0.847619048,0.947743468,0.942992874,0.92,0.754310345
Roberts-representations,916,0.594510846,1170,0.736842105,916,0.594510846,0.839140101,0.999568869,0.998614821,0.993504756,0.89388491,1,0.981481481,0.964705882,0.73553719,1,0.990654206,0.982035928,0.847619048,0.947743468,0.942992874,0.92,0.754310345
RASTA-PLP-representations,1210,0.56970128,1579,0.717379631,1210,0.56970128,0.846059612,0.999718636,0.999135155,0.995936863,0.905489595,1,0.982142857,0.943820225,0.716535433,1,0.990990991,0.971098266,0.834862385,0.973128599,0.969289827,0.946768061,0.780487805
Susan-representations,818,0.546059933,1059,0.699574468,817,0.546614872,0.834816,0.999121129,0.997517974,0.981598222,0.87427678,1,0.981481481,0.941860465,0.643410853,1,0.990654206,0.97005988,0.783018868,0.950920245,0.944785276,0.897897898,0.702702703
JPEG_encoder-representations,5169,0.163050518,5225,0.278414584,5169,0.163050518,0.576380526,0.950187946,0.88545172,0.734599069,0.530023179,1,0.944444444,0.872093023,0.622047244,1,0.971428571,0.931677019,0.766990291,0.159620362,0.155900086,0.146278871,0.120603015
Reduced-representations,1171,0.566456868,1445,0.731662024,1170,0.566827101,0.850547317,0.999968177,0.999876718,0.996481134,0.901289698,1,0.981481481,0.953488372,0.677419355,1,0.990654206,0.976190476,0.807692308,0.995975855,0.99195171,0.96031746,0.773381295
FIRFIRGCD_ext-representations,2954,0.58382643,3633,0.741662519,2952,0.584108199,0.849580038,0.999839382,0.999526792,0.997889527,0.907719966,0.962962963,0.944444444,0.906976744,0.640625,0.981132075,0.971428571,0.951219512,0.780952381,0.972932331,0.969947408,0.952309985,0.788251366
FIRFIRGCD_HPV-representations,2323,0.569096643,2856,0.732634338,2323,0.569096643,0.844174928,0.999696624,0.999142364,0.996290362,0.90867277,0.962962963,0.944444444,0.906976744,0.640625,0.981132075,0.971428571,0.951219512,0.780952381,0.972166998,0.970178926,0.950738916,0.783588819
